,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
42892,Middlesbrough,Álvaro Negredo,Forward,25,1.0,86.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
80179,Middlesbrough,Adam Forshaw,Midfielder,25,1.0,96.0,0.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
20399,Middlesbrough,Antonio Barragán,Defender,25,1.0,96.0,0.0,0.0,0.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,8.0,0.0,3.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
55317,Middlesbrough,Bernardo,Defender,25,1.0,96.0,0.0,1.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
82428,Middlesbrough,Marten de Roon,Midfielder,25,1.0,96.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
59044,Middlesbrough,Adam Clayton,Midfielder,25,1.0,96.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
83312,Middlesbrough,Ben Gibson,Defender,25,1.0,96.0,0.0,2.0,1.0,11.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
54771,Middlesbrough,Fabio,Defender,25,1.0,96.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,0.0666666666667,1.0
54908,Tottenham Hotspur,Nacer Chadli,Midfielder,35,1.0,59.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0909090909091,1.0
57134,West Bromwich Albion,Salomón Rondón,Forward,35,1.0,64.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0909090909091,1.0
67527,Watford,Nyom,Defender,35,1.0,96.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0909090909091,1.0
