,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
128198,Unknown,Unknown,Unknown,20,1.0,75.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,17.0,11.0,8.0,4.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
78056,Southampton,Oriol Romeu,Midfielder,20,1.0,96.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
97032,Southampton,Virgil van Dijk,Defender,20,1.0,96.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,3.0,0.0,8.0,7.0,0.0,1.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
55494,Crystal Palace,Joel Ward,Defender,31,1.0,96.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
78356,Southampton,Charlie Austin,Forward,20,1.0,75.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333333333,0.0
7906,Crystal Palace,Damien Delaney,Defender,31,1.0,96.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
58822,Southampton,Cédric Soares,Defender,20,1.0,96.0,0.0,1.0,0.0,11.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
101178,Southampton,James Ward-Prowse,Midfielder,20,1.0,96.0,0.0,2.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
40146,Southampton,Ryan Bertrand,Defender,20,1.0,96.0,0.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,18.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
38580,Southampton,José Fonte,Defender,20,1.0,96.0,0.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,4.0,0.0,9.0,6.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
83283,Southampton,Nathan Redmond,Midfielder,20,1.0,96.0,0.0,1.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,9.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
132015,Southampton,Pierre-Emile Højbjerg,Midfielder,20,1.0,59.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
82403,Crystal Palace,Wilfried Zaha,Midfielder,31,1.0,96.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,2.0,3.0,2.0,2.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
49413,Crystal Palace,James Tomkins,Defender,31,1.0,89.0,1.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.0,3.0
50471,Crystal Palace,James McArthur,Midfielder,31,1.0,88.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.0,3.0
54861,Liverpool,Christian Benteke,Forward,31,1.0,96.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,22.0,9.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.0,3.0
60252,Crystal Palace,Andros Townsend,Midfielder,31,1.0,79.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
40383,Southampton,Fraser Forster,Goalkeeper,20,1.0,96.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
19188,Crystal Palace,Scott Dann,Defender,31,1.0,96.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,4.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
20066,Crystal Palace,Wayne Hennessey,Goalkeeper,31,1.0,96.0,0.0,0.0,0.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
18805,Crystal Palace,Joe Ledley,Midfielder,31,1.0,96.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
19197,Crystal Palace,Jason Puncheon,Midfielder,31,1.0,96.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,17.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,3.0
153379,Unknown,Unknown,Unknown,20,1.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
20452,Southampton,Shane Long,Forward,20,1.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
