,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
92217,Liverpool,Roberto Firmino,Forward,14,1.0,97.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,3.0
56979,Liverpool,Jordan Henderson,Midfielder,14,1.0,97.0,0.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,2.0,37.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,3.0
33871,Liverpool,Ragnar Klavan,Defender,14,1.0,97.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,3.0
66797,Liverpool,Simon Mignolet,Goalkeeper,14,1.0,97.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,3.0
38454,Liverpool,Dejan Lovren,Defender,14,1.0,97.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,1.0,7.0,7.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.25,0.333333333333,3.0
56864,Arsenal,Francis Coquelin,Midfielder,3,1.0,97.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.25,0.0
153133,Arsenal,Alex Iwobi,Midfielder,3,1.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.25,0.0
57328,Liverpool,Nathaniel Clyne,Defender,14,1.0,97.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,3.0
110979,Liverpool,Sadio Mané,Midfielder,14,1.0,97.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,4.0,6.0,1.0,4.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.333333333333,3.0
38411,Arsenal,Nacho Monreal,Defender,3,1.0,97.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,41.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.25,0.0
