,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
37572,Manchester City,Sergio Agüero,Forward,43,1.0,95.0,1.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
41823,Manchester City,Fabian Delph,Midfielder,43,1.0,95.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0588235294118,0.2,0.0
27789,Manchester City,Fernandinho,Midfielder,43,1.0,95.0,0.0,3.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,1.0,3.0,2.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
17740,Manchester City,Jesús Navas,Midfielder,43,1.0,95.0,0.0,0.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,4.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
97299,Manchester City,John Stones,Defender,43,1.0,95.0,0.0,4.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,3.0,1.0,7.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
17476,Manchester City,Vincent Kompany,Defender,43,1.0,95.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0588235294118,0.2,0.0
17336,Manchester City,Gaël Clichy,Defender,43,1.0,95.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0588235294118,0.2,0.0
20310,Manchester City,Willy Caballero,Goalkeeper,43,1.0,95.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
20664,Manchester City,David Silva,Midfielder,43,1.0,95.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,0.0,0.0,6.0,23.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
182156,Manchester City,Leroy Sané,Midfielder,43,1.0,85.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294118,0.2,0.0
